QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Carson Wentz,Christian McCaffrey,Dalvin Cook,Tyler Lockett,Dede Westbrook,Trey Quinn,Zach Ertz,Philadelphia Eagles,Austin Ekeler,136.66,192.62
Dak Prescott,Leonard Fournette,Dalvin Cook,Amari Cooper,Adam Thielen,Sterling Shepard,Hunter Henry,Philadelphia Eagles,Chris Carson,136.45,162.9
Carson Wentz,Dalvin Cook,Kerryon Johnson,Adam Thielen,Sammy Watkins,Dede Westbrook,Travis Kelce,Los Angeles Chargers,Chris Carson,136.08,181.32
Carson Wentz,Christian McCaffrey,Dalvin Cook,Keenan Allen,Mike Williams,Sterling Shepard,Hunter Henry,Miami Dolphins,Kerryon Johnson,135.43,162.52
Carson Wentz,Leonard Fournette,Dalvin Cook,Julio Jones,Adam Thielen,Tyler Boyd,Austin Hooper,Kansas City Chiefs,Austin Ekeler,135.28,173.22
Russell Wilson,Saquon Barkley,Leonard Fournette,Tyler Lockett,Tyler Boyd,Dede Westbrook,Hunter Henry,Miami Dolphins,Dalvin Cook,135.2,125.8
Dak Prescott,Dalvin Cook,Kerryon Johnson,Julio Jones,Tyler Lockett,Sterling Shepard,Evan Engram,Los Angeles Chargers,Austin Ekeler,134.96,183.3
Carson Wentz,Leonard Fournette,Dalvin Cook,Brandin Cooks,Robert Woods,Curtis Samuel,Zach Ertz,Seattle Seahawks,Chris Carson,134.92,145.52
Kyler Murray,Leonard Fournette,Dalvin Cook,Keenan Allen,Marvin Jones,Christian Kirk,Zach Ertz,Philadelphia Eagles,Kerryon Johnson,134.45,136.32
Dak Prescott,Christian McCaffrey,Dalvin Cook,Tyler Boyd,Dede Westbrook,Michael Gallup,Evan Engram,Baltimore Ravens,Chris Carson,134.41,235.2
Kyler Murray,Christian McCaffrey,Dalvin Cook,Kenny Golladay,Tyler Lockett,Christian Kirk,Hunter Henry,Los Angeles Chargers,Chris Carson,134.33,173.52
Kirk Cousins,Christian McCaffrey,Dalvin Cook,Julio Jones,Adam Thielen,Dede Westbrook,Hunter Henry,Tampa Bay Buccaneers,Matt Breida,134.31,157.52
Patrick Mahomes,Leonard Fournette,Dalvin Cook,Sterling Shepard,Dede Westbrook,Curtis Samuel,Travis Kelce,Baltimore Ravens,Austin Ekeler,134.29,166.52
Cam Newton,Dalvin Cook,Kerryon Johnson,Brandin Cooks,Robert Woods,Tyler Boyd,Hunter Henry,Philadelphia Eagles,Austin Ekeler,134.09,131.76
Jameis Winston,Dalvin Cook,Chris Carson,Adam Thielen,Chris Godwin,Marquise Goodwin,Zach Ertz,New York Jets,Austin Ekeler,134.02,161.16
Carson Wentz,Nick Chubb,Leonard Fournette,Chris Godwin,Tyler Lockett,Marquise Goodwin,George Kittle,Los Angeles Chargers,Dalvin Cook,133.81,123.72
Philip Rivers,Dalvin Cook,Chris Carson,Odell Beckham Jr,Keenan Allen,Dede Westbrook,Hunter Henry,Kansas City Chiefs,Austin Ekeler,133.71,193.92
